1 -19 34 -11 39 -31 17
1 -15 35 -32 21 -32 21
1 -40 7 -34 14 -19 29
1 -5 49 -4 45 -9 42
1 -12 41 -41 13 -16 31
1 -45 7 -33 12 -31 21
1 -45 4 -39 15 -4 46
1 -43 8 -24 23 -4 48
1 -7 37 -30 14 -10 43
1 -1 49 -28 16 -33 18
0 18 31 -31 -16 31 47
1 -33 17 -35 11 -38 8
0 -20 -5 -3 9 33 42
1 -46 5 -18 28 -43 2
0 -25 -11 23 41 -29 -19
1 -26 18 -16 38 -41 11
0 27 37 33 49 9 19
1 -47 7 -14 38 -18 31
0 30 43 -1 14 -31 -13
1 -14 35 -12 32 -36 12
1 -59098 -54199 -36078 -10444 46892 52510
1 -27877 -18112 70267 89349 24999 39366
1 -36199 -8602 71195 76809 -10503 21476
1 5670 27742 40598 69945 -65602 -48260
1 72870 94698 3175 34116 -35084 -6641
1 42062 73209 16936 47551 27491 47444
1 60667 98752 1362 4305 -9529 3882
1 45435 83681 14269 42805 23977 43631
1 -46969 -11204 -64874 -37542 -61510 -42452
1 43808 73893 -36487 459 -68152 -47496
1 37020 45175 48507 58722 -54528 -34326
1 -17084 -876 42099 53103 47373 64568
1 -82175 -76501 -26365 -2406 -7654 9822
1 32513 38412 27812 36559 51447 68333
1 -52250 -24236 65974 75215 -20853 13104
1 59752 89340 -28907 -10856 -28457 -10862
1 -4766 19655 70212 86760 -29495 -16204
1 44263 65389 35931 66282 -25110 -4764
1 -8987 3590 -79369 -48301 -53184 -37866
1 -26344 -2237 52535 69575 -47219 -35605
1 -73002 -55013 19533 26644 -34236 -13662
1 55117 76298 -20895 -9151 -47690 -30277
1 25936 49385 57225 88869 20494 38786
1 -73071 -44427 39596 53730 23471 46680
1 22705 51213 29107 58220 -70852 -43228
1 43020 56977 -71759 -53804 -9780 11526
1 -92967 -62567 -41659 -19961 -9970 272
1 -13914 5860 -95996 -77759 -17914 1599
1 17450 43800 -49834 -30971 50562 71131
1 -6689 5639 63615 85399 -15384 18541
1 -4491 3421 66426 99325 -9454 5054
1 -39886 -23027 55524 90783 -23238 -4182
1 52315 59823 -33854 -3180 -59484 -38381
1 -66585 -48438 -43163 -27947 -58079 -41227
1 64211 72747 -30345 -10551 25389 43795
1 2816 12511 -37164 -24081 71850 91940
1 -88169 -70088 -12717 6914 2334 21316
1 -54584 -26709 -36480 -14684 59274 70111
1 -13532 557 -205 35666 75595 80426
1 19930 37164 39934 75706 28842 56488
1 -63919 -57607 37342 65169 5453 23613
1 33971 53982 -70776 -40917 -27539 -1882
1 43686 66086 -46761 -39687 44445 52406
1 -71484 -52837 22244 33012 -71055 -50941
1 29947 49592 -61876 -44047 29105 46580
1 18688 22615 64530 90273 -17792 939
1 -68324 -37052 56041 74288 8355 22305
1 10878 26340 -70763 -47532 -49441 -34903
1 -67797 -57357 -46794 -16810 27958 33447
1 -49245 -18622 1872 29334 -70708 -68379
1 -55120 -35928 -47503 -29566 43350 68375
1 17212 42969 -44068 -19902 -70311 -58563
1 63690 70279 -25612 -18742 27291 36553
